u1x,u1y,u1h,u1v,u2x,u2y,u2h,u2v,u3x,u3y,u3h,u3v,u4x,u4y,u4h,u4v
-8.284271247461898469e+00,8.756141551769225373e-01,1.000000000000000000e+01,0.000000000000000000e+00,-1.828427124746190202e+01,-2.612438584482308102e+01,1.000000000000000000e+01,0.000000000000000000e+00,-2.828427124746190202e+01,2.287561415517692254e+01,1.000000000000000000e+01,0.000000000000000000e+00,-3.828427124746190202e+01,-9.124385844823077463e+00,1.000000000000000000e+01,0.000000000000000000e+00
-5.784271247461898469e+00,3.375614155176922537e+00,1.000000000000000000e+01,3.535533905932737753e+00,-1.578427124746190202e+01,-2.362438584482308102e+01,1.000000000000000000e+01,3.535533905932737753e+00,-2.578427124746190202e+01,2.537561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00,-3.578427124746190202e+01,-6.624385844823077463e+00,1.000000000000000000e+01,3.535533905932737753e+00
-3.284271247461898469e+00,5.875614155176922537e+00,1.000000000000000000e+01,3.535533905932737753e+00,-1.328427124746190202e+01,-2.112438584482308102e+01,1.000000000000000000e+01,3.535533905932737753e+00,-2.328427124746190202e+01,2.787561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00,-3.328427124746190202e+01,-4.124385844823077463e+00,1.000000000000000000e+01,3.535533905932737753e+00
-7.842712474618984686e-01,8.375614155176922537e+00,1.000000000000000000e+01,3.535533905932737753e+00,-1.078427124746190202e+01,-1.862438584482308102e+01,1.000000000000000000e+01,3.535533905932737753e+00,-2.078427124746190202e+01,3.037561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00,-3.078427124746190202e+01,-1.624385844823077463e+00,1.000000000000000000e+01,3.535533905932737753e+00
1.715728752538101531e+00,1.087561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00,-8.284271247461902021e+00,-1.612438584482308102e+01,1.000000000000000000e+01,3.535533905932737753e+00,-1.828427124746190202e+01,3.287561415517691898e+01,1.000000000000000000e+01,3.535533905932737753e+00,-2.828427124746190202e+01,8.756141551769225373e-01,1.000000000000000000e+01,3.535533905932737753e+00
4.215728752538101531e+00,1.337561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00,-5.784271247461902021e+00,-1.362438584482308102e+01,1.000000000000000000e+01,3.535533905932737753e+00,-1.578427124746190202e+01,3.537561415517691898e+01,1.000000000000000000e+01,3.535533905932737753e+00,-2.578427124746190202e+01,3.375614155176922537e+00,1.000000000000000000e+01,3.535533905932737753e+00
6.715728752538101531e+00,1.587561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00,-3.284271247461902021e+00,-1.112438584482308102e+01,1.000000000000000000e+01,3.535533905932737753e+00,-1.328427124746190202e+01,3.787561415517691898e+01,1.000000000000000000e+01,3.535533905932737753e+00,-2.328427124746190202e+01,5.875614155176922537e+00,1.000000000000000000e+01,3.535533905932737753e+00
9.215728752538101531e+00,1.837561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00,-7.842712474619020213e-01,-8.624385844823081015e+00,1.000000000000000000e+01,3.535533905932737753e+00,-1.078427124746190202e+01,4.037561415517691898e+01,1.000000000000000000e+01,3.535533905932737753e+00,-2.078427124746190202e+01,8.375614155176922537e+00,1.000000000000000000e+01,3.535533905932737753e+00
1.171572875253810153e+01,2.087561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00,1.715728752538097979e+00,-6.124385844823081015e+00,1.000000000000000000e+01,3.535533905932737753e+00,-8.284271247461902021e+00,4.287561415517691898e+01,1.000000000000000000e+01,3.535533905932737753e+00,-1.828427124746190202e+01,1.087561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00
1.421572875253810153e+01,2.337561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00,4.215728752538097979e+00,-3.624385844823081015e+00,1.000000000000000000e+01,3.535533905932737753e+00,-5.784271247461902021e+00,4.537561415517691898e+01,1.000000000000000000e+01,3.535533905932737753e+00,-1.578427124746190202e+01,1.337561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00
1.671572875253810153e+01,2.587561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00,6.715728752538097979e+00,-1.124385844823081015e+00,1.000000000000000000e+01,3.535533905932737753e+00,-3.284271247461902021e+00,4.787561415517691898e+01,1.000000000000000000e+01,3.535533905932737753e+00,-1.328427124746190202e+01,1.587561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00
1.671572875253810153e+01,2.587561415517692254e+01,1.000000000000000000e+01,0.000000000000000000e+00,6.715728752538097979e+00,-1.124385844823081015e+00,1.000000000000000000e+01,0.000000000000000000e+00,-3.284271247461902021e+00,4.787561415517691898e+01,1.000000000000000000e+01,0.000000000000000000e+00,-1.328427124746190202e+01,1.587561415517692254e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.921572875253810153e+01,2.837561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00,9.215728752538097979e+00,1.375614155176918985e+00,1.000000000000000000e+01,3.535533905932737753e+00,-7.842712474619020213e-01,5.037561415517691898e+01,1.000000000000000000e+01,3.535533905932737753e+00,-1.078427124746190202e+01,1.837561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00
2.171572875253810153e+01,3.087561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00,1.171572875253809798e+01,3.875614155176918985e+00,1.000000000000000000e+01,3.535533905932737753e+00,1.715728752538097979e+00,5.287561415517691898e+01,1.000000000000000000e+01,3.535533905932737753e+00,-8.284271247461902021e+00,2.087561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00
2.421572875253810153e+01,3.337561415517691898e+01,1.000000000000000000e+01,3.535533905932737753e+00,1.421572875253809798e+01,6.375614155176918985e+00,1.000000000000000000e+01,3.535533905932737753e+00,4.215728752538097979e+00,5.537561415517691898e+01,1.000000000000000000e+01,3.535533905932737753e+00,-5.784271247461902021e+00,2.337561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00
2.671572875253810153e+01,3.587561415517691898e+01,1.000000000000000000e+01,3.535533905932737753e+00,1.671572875253809798e+01,8.875614155176918985e+00,1.000000000000000000e+01,3.535533905932737753e+00,6.715728752538097979e+00,5.787561415517691898e+01,1.000000000000000000e+01,3.535533905932737753e+00,-3.284271247461902021e+00,2.587561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00
2.921572875253810153e+01,3.837561415517691898e+01,1.000000000000000000e+01,3.535533905932737753e+00,1.921572875253809798e+01,1.137561415517691898e+01,1.000000000000000000e+01,3.535533905932737753e+00,9.215728752538097979e+00,6.037561415517691898e+01,1.000000000000000000e+01,3.535533905932737753e+00,-7.842712474619020213e-01,2.837561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00
3.171572875253810153e+01,4.087561415517691898e+01,1.000000000000000000e+01,3.535533905932737753e+00,2.171572875253809798e+01,1.387561415517691898e+01,1.000000000000000000e+01,3.535533905932737753e+00,1.171572875253809798e+01,6.287561415517691898e+01,1.000000000000000000e+01,3.535533905932737753e+00,1.715728752538097979e+00,3.087561415517692254e+01,1.000000000000000000e+01,3.535533905932737753e+00
3.421572875253809798e+01,4.264766354893895084e+01,1.000000000000000000e+01,3.064336641743590217e+00,2.421572875253809798e+01,1.564766354893895084e+01,1.000000000000000000e+01,3.064336641743590217e+00,1.421572875253809798e+01,6.464766354893895084e+01,1.000000000000000000e+01,3.064336641743590217e+00,4.215728752538097979e+00,3.264766354893895084e+01,1.000000000000000000e+01,3.064336641743589329e+00
3.421572875253809798e+01,4.264766354893895084e+01,1.000000000000000000e+01,0.000000000000000000e+00,2.421572875253809798e+01,1.564766354893895084e+01,1.000000000000000000e+01,0.000000000000000000e+00,1.421572875253809798e+01,6.464766354893895084e+01,1.000000000000000000e+01,0.000000000000000000e+00,4.215728752538097979e+00,3.264766354893895084e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.671572875253809798e+01,4.353368824581996677e+01,1.000000000000000000e+01,2.652364937840020698e+00,2.671572875253809798e+01,1.653368824581996677e+01,1.000000000000000000e+01,2.652364937840020698e+00,1.671572875253809798e+01,6.553368824581997387e+01,1.000000000000000000e+01,2.652364937840020698e+00,6.715728752538097979e+00,3.353368824581996677e+01,1.000000000000000000e+01,2.652364937840020698e+00
3.921572875253809798e+01,4.397670059426047828e+01,1.000000000000000000e+01,2.538948589647055609e+00,2.921572875253809798e+01,1.697670059426047473e+01,1.000000000000000000e+01,2.538948589647055609e+00,1.921572875253809798e+01,6.597670059426047828e+01,1.000000000000000000e+01,2.538948589647055165e+00,9.215728752538097979e+00,3.397670059426047828e+01,1.000000000000000000e+01,2.538948589647055609e+00
3.921572875253809798e+01,4.397670059426047828e+01,1.000000000000000000e+01,0.000000000000000000e+00,2.921572875253809798e+01,1.697670059426047473e+01,1.000000000000000000e+01,0.000000000000000000e+00,1.921572875253809798e+01,6.597670059426047828e+01,1.000000000000000000e+01,0.000000000000000000e+00,9.215728752538097979e+00,3.397670059426047828e+01,1.000000000000000000e+01,0.000000000000000000e+00
4.171572875253809798e+01,4.419820676848073049e+01,1.000000000000000000e+01,2.509793813287795494e+00,3.171572875253809798e+01,1.719820676848073049e+01,1.000000000000000000e+01,2.509793813287795494e+00,2.171572875253809798e+01,6.619820676848073049e+01,1.000000000000000000e+01,2.509793813287795494e+00,1.171572875253809798e+01,3.419820676848073049e+01,1.000000000000000000e+01,2.509793813287795494e+00
4.421572875253809798e+01,4.430895985559085659e+01,1.000000000000000000e+01,2.502452046754227499e+00,3.421572875253809798e+01,1.730895985559085659e+01,1.000000000000000000e+01,2.502452046754227499e+00,2.421572875253809798e+01,6.630895985559085659e+01,1.000000000000000000e+01,2.502452046754227499e+00,1.421572875253809798e+01,3.430895985559085659e+01,1.000000000000000000e+01,2.502452046754227499e+00
4.671572875253809798e+01,4.436433639914591964e+01,1.000000000000000000e+01,2.500613237103272102e+00,3.671572875253809798e+01,1.736433639914591964e+01,1.000000000000000000e+01,2.500613237103272102e+00,2.671572875253809798e+01,6.636433639914591254e+01,1.000000000000000000e+01,2.500613237103272102e+00,1.671572875253809798e+01,3.436433639914591964e+01,1.000000000000000000e+01,2.500613237103272102e+00
4.921572875253809798e+01,4.439202467092344762e+01,1.000000000000000000e+01,2.500153323377193537e+00,3.921572875253809798e+01,1.739202467092345117e+01,1.000000000000000000e+01,2.500153323377193537e+00,2.921572875253809798e+01,6.639202467092344762e+01,1.000000000000000000e+01,2.500153323377193537e+00,1.921572875253809798e+01,3.439202467092344762e+01,1.000000000000000000e+01,2.500153323377193537e+00
4.921572875253809798e+01,4.439202467092344762e+01,1.000000000000000000e+01,0.000000000000000000e+00,3.921572875253809798e+01,1.739202467092345117e+01,1.000000000000000000e+01,0.000000000000000000e+00,2.921572875253809798e+01,6.639202467092344762e+01,1.000000000000000000e+01,0.000000000000000000e+00,1.921572875253809798e+01,3.439202467092344762e+01,1.000000000000000000e+01,0.000000000000000000e+00
5.171572875253809798e+01,4.440586880681221515e+01,1.000000000000000000e+01,2.500038331725837004e+00,4.171572875253809798e+01,1.740586880681221515e+01,1.000000000000000000e+01,2.500038331725837004e+00,3.171572875253809798e+01,6.640586880681220805e+01,1.000000000000000000e+01,2.500038331725837004e+00,2.171572875253809798e+01,3.440586880681221515e+01,1.000000000000000000e+01,2.500038331725837004e+00
